Wall time,Step,Value
1524102467.242824,87001,0.49560546875
1524102512.511524,87101,0.4912109375
1524102606.408805,87301,0.49365234375
1524102651.647957,87401,0.482421875
1524102742.488331,87601,0.4736328125
1524102787.785376,87701,0.490234375
1524102833.362398,87801,0.5
1524102926.515448,88001,0.47314453125
1524103062.615859,88301,0.49609375
1524103108.112921,88401,0.494140625
1524103201.100463,88601,0.4697265625
1524103291.946718,88801,0.48681640625
1524103337.187083,88901,0.4951171875
1524103382.78419,89001,0.47998046875
1524103428.057116,89101,0.4755859375
1524103475.803511,89201,0.48583984375
1524103612.095716,89501,0.4814453125
1524103657.584741,89601,0.4755859375
1524103751.160335,89801,0.4677734375
1524103796.706144,89901,0.50537109375
1524103841.969494,90001,0.47998046875
1524103887.255392,90101,0.484375
1524103932.876705,90201,0.4873046875
1524104023.45665,90401,0.4833984375
1524104117.016003,90601,0.4775390625
1524104162.361461,90701,0.48681640625
1524104208.028001,90801,0.49365234375
1524104253.334418,90901,0.48388671875
1524104298.624769,91001,0.4775390625
1524104437.308346,91301,0.49365234375
1524104482.795293,91401,0.50732421875
1524104619.007187,91701,0.50390625
1524104711.954653,91901,0.48095703125
1524104757.599513,92001,0.4775390625
1524104802.911825,92101,0.4775390625
1524104848.214587,92201,0.4697265625
1524104893.747587,92301,0.49560546875
1524104939.036403,92401,0.4716796875
1524104986.249478,92501,0.47607421875
1524105031.589721,92601,0.48291015625
1524105076.935847,92701,0.51416015625
1524105167.68761,92901,0.46484375
1524105212.97414,93001,0.48388671875
1524105260.636288,93101,0.490234375
1524105306.273368,93201,0.4765625
1524105396.95212,93401,0.49609375
1524105487.892745,93601,0.49658203125
1524105581.004959,93801,0.5009765625
1524105671.670938,94001,0.49365234375
1524105762.46727,94201,0.49072265625
1524105855.653402,94401,0.48583984375
1524105900.957811,94501,0.482421875
1524105946.285494,94601,0.49267578125
1524105991.841135,94701,0.49169921875
1524106082.3727,94901,0.46484375
1524106127.851546,95001,0.49169921875
1524106175.443637,95101,0.4697265625
1524106311.511988,95401,0.5068359375
1524106356.663253,95501,0.4853515625
1524106402.331542,95601,0.4892578125
1524106495.123336,95801,0.49560546875
1524106540.689287,95901,0.48095703125
1524106631.187032,96101,0.47265625
1524106676.644881,96201,0.48779296875
1524106721.975726,96301,0.486328125
1524106769.764045,96401,0.46728515625
1524106815.332208,96501,0.47412109375
1524106905.922798,96701,0.49658203125
1524106951.339004,96801,0.4873046875
1524107044.06749,97001,0.490234375
1524107089.567803,97101,0.4677734375
1524107134.909324,97201,0.46533203125
1524107180.497111,97301,0.4951171875
1524107226.340749,97401,0.4833984375
1524107271.78518,97501,0.4736328125
1524107317.065044,97601,0.4833984375
1524107365.22395,97701,0.48583984375
1524107410.58005,97801,0.49169921875
1524107455.863324,97901,0.4814453125
1524107501.682287,98001,0.4677734375
1524107592.799378,98201,0.47265625
1524107638.726413,98301,0.49462890625
1524107686.529236,98401,0.49365234375
1524107823.269546,98701,0.486328125
1524107868.770898,98801,0.4853515625
1524107914.430745,98901,0.4921875
1524107962.062088,99001,0.4833984375
1524108007.373007,99101,0.5048828125
1524108053.062025,99201,0.48876953125
1524108100.679146,99301,0.474609375
1524108146.022078,99401,0.4697265625
1524108191.651363,99501,0.47314453125
1524108236.932832,99601,0.47998046875
1524108329.920172,99801,0.4716796875
1524108466.320779,100101,0.45849609375
1524108559.372739,100301,0.48388671875
1524108604.924606,100401,0.47607421875
1524108650.21007,100501,0.50048828125
1524108695.710585,100601,0.4970703125
1524108787.189032,100801,0.4892578125
1524108881.212721,101001,0.50634765625
1524108927.027112,101101,0.4638671875
1524108972.684918,101201,0.47509765625
1524109203.762183,101701,0.48779296875
1524109432.300434,102201,0.46875
1524109480.38026,102301,0.48291015625
1524109571.625509,102501,0.47998046875
1524109616.909905,102601,0.48828125
1524109662.268551,102701,0.49951171875
1524109707.924579,102801,0.46875
1524109755.803834,102901,0.48681640625
1524109801.072629,103001,0.4912109375
1524109846.610729,103101,0.4873046875
1524109891.967572,103201,0.4853515625
1524109937.246332,103301,0.4931640625
1524109982.703194,103401,0.4697265625
1524110027.923803,103501,0.47412109375
1524110075.610365,103601,0.47802734375
1524110121.307203,103701,0.47216796875
1524110257.342797,104001,0.48974609375
1524110302.574931,104101,0.4990234375
1524110350.695902,104201,0.49609375
1524110396.280165,104301,0.4873046875
1524110441.642263,104401,0.4658203125
1524110486.93138,104501,0.48388671875
1524110532.513482,104601,0.486328125
1524110670.745116,104901,0.47607421875
1524110715.99228,105001,0.501953125
1524110761.272196,105101,0.49853515625
1524110806.684278,105201,0.4736328125
